assignee,components,created,creator,description,fixVersions,issuetype,key,priority,reporter,resolution,resolution.date,status.description,status.name,subtask,summary,updated,versions,watches
,[],2022-04-01T08:48:51.000+0000,Adarsh Shukla,"Hi Team,

We want to understand how to handle the zookeeper log4j vulnerability? is the team planning to release a new version of zookeeper which resolves the log4j vulnerability issue?

 

Regards,

Adarsh",[],Bug,ZOOKEEPER-4509,Major,Adarsh Shukla,Information Provided,2022-04-01T09:02:56.000+0000,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Resolved,0.0,log4j vulnerability,2022-04-05T05:42:04.000+0000,"[<JIRA Version: name='3.7.0', id='12346617'>]",3.0
Kezhu Wang,"[<JIRA Component: name='java client', id='12312381'>]",2022-04-01T07:37:35.000+0000,Kezhu Wang,"The observable behavior is that client will not get expired event from watcher. The cause if twofold:
1. `updateLastSendAndHeard` is called in reconnection so the session timeout don't decrease.
2. There is not break out from `ClientCnxn.SendThread.run` after session timeout.",[],Bug,ZOOKEEPER-4508,Major,Kezhu Wang,,,The issue is open and ready for the assignee to start work on it.,Open,0.0,ZooKeeper client run to endless loop in ClientCnxn.SendThread.run if all server down,2022-04-01T09:10:57.000+0000,"[<JIRA Version: name='3.6.3', id='12348703'>, <JIRA Version: name='3.7.0', id='12346617'>, <JIRA Version: name='3.8.0', id='12349587'>]",1.0
,[],2022-03-29T12:43:54.000+0000,Edwin Hobor,"*CVE-2020-36518* vulnerability affects jackson-databind in Zookeeper (see [https://github.com/advisories/GHSA-57j2-w4cx-62h2]).

Upgrading to jackson-databind version *2.13.2.1* should address this issue.","[<JIRA Version: name='3.7.1', id='12350030'>, <JIRA Version: name='3.6.4', id='12350076'>, <JIRA Version: name='3.9.0', id='12351304'>, <JIRA Version: name='3.8.1', id='12351398'>]",Bug,ZOOKEEPER-4505,Major,Edwin Hobor,Fixed,2022-03-31T18:24:08.000+0000,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Resolved,0.0,CVE-2020-36518 - Upgrade jackson databind to 2.13.2.1,2022-03-31T18:30:08.000+0000,[],1.0
Mohammad Arshad,[],2022-03-29T10:01:19.000+0000,Mohammad Arshad,"*Problem and Analysis:*
After integrating ZooKeeper 3.6.3 we observed deadlock in HDFS HA functionality as shown in below thread dumps.
{code:java}
""main-EventThread"" #33 daemon prio=5 os_prio=0 tid=0x00007f9c017f1000 nid=0x101b waiting for monitor entry [0x00007f9bda8a6000]
   java.lang.Thread.State: BLOCKED (on object monitor)
	at org.apache.hadoop.ha.ActiveStandbyElector.processWatchEvent(ActiveStandbyElector.java:603)
	- waiting to lock <0x00000000c17986c0> (a org.apache.hadoop.ha.ActiveStandbyElector)
	at org.apache.hadoop.ha.ActiveStandbyElector$WatcherWithClientRef.process(ActiveStandbyElector.java:1193)
	at org.apache.zookeeper.ClientCnxn$EventThread.processEvent(ClientCnxn.java:626)
	at org.apache.zookeeper.ClientCnxn$EventThread.run(ClientCnxn.java:582)
{code}
{code:java}
""main"" #1 prio=5 os_prio=0 tid=0x00007f9c00060000 nid=0xea3 waiting on condition [0x00007f9c06404000]
   java.lang.Thread.State: WAITING (parking)
	at sun.misc.Unsafe.park(Native Method)
	- parking to wait for  <0x00000000c1b383c8> (a java.util.concurrent.Semaphore$NonfairSync)
	at java.util.concurrent.locks.LockSupport.park(LockSupport.java:175)
	at java.util.concurrent.locks.AbstractQueuedSynchronizer.parkAndCheckInterrupt(AbstractQueuedSynchronizer.java:838)
	at java.util.concurrent.locks.AbstractQueuedSynchronizer.doAcquireSharedInterruptibly(AbstractQueuedSynchronizer.java:999)
	at java.util.concurrent.locks.AbstractQueuedSynchronizer.acquireSharedInterruptibly(AbstractQueuedSynchronizer.java:1306)
	at java.util.concurrent.Semaphore.acquire(Semaphore.java:467)
	at org.apache.zookeeper.ZKUtil.deleteInBatch(ZKUtil.java:122)
	at org.apache.zookeeper.ZKUtil.deleteRecursive(ZKUtil.java:64)
	at org.apache.zookeeper.ZKUtil.deleteRecursive(ZKUtil.java:76)
	at org.apache.hadoop.ha.ActiveStandbyElector$1.run(ActiveStandbyElector.java:386)
	at org.apache.hadoop.ha.ActiveStandbyElector$1.run(ActiveStandbyElector.java:383)
	at org.apache.hadoop.ha.ActiveStandbyElector.zkDoWithRetries(ActiveStandbyElector.java:1103)
	at org.apache.hadoop.ha.ActiveStandbyElector.zkDoWithRetries(ActiveStandbyElector.java:1095)
	at org.apache.hadoop.ha.ActiveStandbyElector.clearParentZNode(ActiveStandbyElector.java:383)
	- locked <0x00000000c17986c0> (a org.apache.hadoop.ha.ActiveStandbyElector)
	at org.apache.hadoop.ha.ZKFailoverController.formatZK(ZKFailoverController.java:290)
	at org.apache.hadoop.ha.ZKFailoverController.doRun(ZKFailoverController.java:227)
	at org.apache.hadoop.ha.ZKFailoverController.access$000(ZKFailoverController.java:66)
	at org.apache.hadoop.ha.ZKFailoverController$1.run(ZKFailoverController.java:186)
	at org.apache.hadoop.ha.ZKFailoverController$1.run(ZKFailoverController.java:182)
	at java.security.AccessController.doPrivileged(Native Method)
	at javax.security.auth.Subject.doAs(Subject.java:360)
	at org.apache.hadoop.security.UserGroupInformation.doAs(UserGroupInformation.java:1741)
	at org.apache.hadoop.security.SecurityUtil.doAsLoginUserOrFatal(SecurityUtil.java:498)
	at org.apache.hadoop.ha.ZKFailoverController.run(ZKFailoverController.java:182)
	at org.apache.hadoop.hdfs.tools.DFSZKFailoverController.main(DFSZKFailoverController.java:220)
{code}
org.apache.hadoop.ha.ActiveStandbyElector#clearParentZNode is instance synchronized and calls ZKUtil.deleteRecursive(zk, pathRoot)

ZKUtil.deleteRecursive is making async delete API call with MultiCallback as it callback.
As processWatchEvent is being processed, pathRoot or one of the child paths must have set watcher for delete notification.

When delete API is called, notification comes first to client then the actual delete response.
In this case both notification and delete response are processed through callback and through common waitingEvents queue one by one.

First notification is processed, but it cannot complete as it cannot take lock on processWatchEvent() method as lock is already taken by another thread while calling clearParentZNode()
As delete notification cannot be processed, MultiCallback is not taken from queue for processing. It stays there in the queue forever.

 

*Why this problem was not happening with earlier versions (3.5.x)?*

In earlier ZK versions, ZKUtil.deleteRecursive was using sync delete API. So delete response was processed directly not though the callback. 
Sot both clearParentZNode and processWatchEvent were completing independently. 


*Proposed Fix:*
There are two approaches to fix this problem. 
1. We can fix the problem in HDFS, modify the HDFS code to avoid the deadlock. But we may get similar bugs in other projects.
2. Fix the problem in ZK. Make the API behavior same as the old behavior(use sync API to delete the ZK node) and provide new overloaded API with new behavior(use async API to delete the ZK node)

I propose to fix the problem with 2nd approach.","[<JIRA Version: name='3.7.1', id='12350030'>, <JIRA Version: name='3.6.4', id='12350076'>, <JIRA Version: name='3.9.0', id='12351304'>, <JIRA Version: name='3.8.1', id='12351398'>]",Bug,ZOOKEEPER-4504,Critical,Mohammad Arshad,,,The issue is open and ready for the assignee to start work on it.,Open,0.0,ZKUtil#deleteRecursive causing deadlock in HDFS HA functionality,2022-04-05T08:29:58.000+0000,[],5.0
,[],2022-03-28T12:51:25.000+0000,May,"Here is the bug triggering process:
 
 # A cluster with three nodes: zk1, zk2 and zk3. zk3 is the leader.
 # client create a znode ""/bug"" with value ""bad""
 # client update znode ""/bug"" to value ""good""
 # zk1 crashes before receiving proposal for leader for the request in step 3.
 # ""/bug"" is modified to ""good""
 # zk1 was restarted
 # another client connects to zk1, reads ""/bug""  and gets ""bad""
 # zk1 finish synchronization with current leader, and then modify ""/bug"" to ""good"".

The problem is that zk1 should be accessed by a client when it finish synchronization with current leader in case of a client reads bad data.

 

****************************************************************************************

The actual testing scenario is as following:

I have a cluster of 5 nodes: C1ZK1(172.30.0.2), C1ZK2(172.30.0.3), C1ZK3(172.30.0.4), C1ZK4(172.30.0.5), C1ZK5(172.30.0.6)

 
 # 2022-03-24 22:51:40,246 [Client1] - INFO -  build connection with zookeeper (client1 actuallly builds connection with  C1ZK1)
 # 2022-03-24 22:51:40,479 crash C1ZK4 before creating file ""/home/zkuser/evaluation/zk-3.6.3/zkData/version-2/log.100000001"" (I think this crash does not matter):
{code:java}
java.io.FileOutputStream.<init>(FileOutputStream.java:213), java.io.FileOutputStream.<init>(FileOutputStream.java:162), org.apache.zookeeper.server.persistence.FileTxnLog.append(FileTxnLog.java:287), org.apache.zookeeper.server.persistence.FileTxnSnapLog.append(FileTxnSnapLog.java:582), org.apache.zookeeper.server.ZKDatabase.append(ZKDatabase.java:641), org.apache.zookeeper.server.SyncRequestProcessor.run(SyncRequestProcessor.java:181), org.apache.zookeeper.server.SyncRequestProcessor.run(SyncRequestProcessor.java:0{code}

 # 2022-03-24 22:51:40,761 [Client1] - INFO - created znode ""/bug"" ""hello""
 # 2022-03-24 22:51:40,869 [Client1] - INFO - set znode ""/bug"" ""nice""
 # 2022-03-24 22:51:40,915 [Client1] - INFO - read znode ""/bug"" is ""nice""
 # 2022-03-24 22:51:40,996 [Client1] - INFO - deleted znode ""/bug""
 # Client1 requests to create ephemeral znode ""/eph""
 # 2022-03-24 22:51:45,033 crash C1ZK1 before:
{code:java}
org.apache.zookeeper.server.quorum.QuorumPacket.serialize(QuorumPacket.java:68), org.apache.jute.BinaryOutputArchive.writeRecord(BinaryOutputArchive.java:126), org.apache.zookeeper.server.quorum.Learner.writePacketNow(Learner.java:194), org.apache.zookeeper.server.quorum.Learner.writePacket(Learner.java:186), org.apache.zookeeper.server.quorum.SendAckRequestProcessor.processRequest(SendAckRequestProcessor.java:46), org.apache.zookeeper.server.SyncRequestProcessor.flush(SyncRequestProcessor.java:246), org.apache.zookeeper.server.SyncRequestProcessor.run(SyncRequestProcessor.java:169), org.apache.zookeeper.server.SyncRequestProcessor.run(SyncRequestProcessor.java:0) {code}

 # 2022-03-24 22:51:49,451  restart C1ZK1 before C1ZK2 write to file ""/home/zkuser/evaluation/zk-3.6.3/zkData/version-2/log.100000001"":
{code:java}
java.io.FileOutputStream.writeBytes(FileOutputStream.java), java.io.FileOutputStream.write(FileOutputStream.java:326), java.io.BufferedOutputStream.flushBuffer(BufferedOutputStream.java:82), java.io.BufferedOutputStream.flush(BufferedOutputStream.java:140), org.apache.zookeeper.server.persistence.FileTxnLog.append(FileTxnLog.java:293), org.apache.zookeeper.server.persistence.FileTxnSnapLog.append(FileTxnSnapLog.java:582), org.apache.zookeeper.server.ZKDatabase.append(ZKDatabase.java:641), org.apache.zookeeper.server.SyncRequestProcessor.run(SyncRequestProcessor.java:181), org.apache.zookeeper.server.SyncRequestProcessor.run(SyncRequestProcessor.java:0) {code}

 # 2022-03-24 22:51:56,744 [Client2] - INFO -  build connection with zookeeper
 # 2022-03-24 22:51:56,876 [Client2] - INFO - cannot read ephemeral znode ""/eph"", got ""KeeperException$ConnectionLossException: KeeperErrorCode = ConnectionLoss for /eph""
 # When we connect with every alive node in the cluster and read data respectively, we get
{code:java}
2022-03-24 22:52:14,663 [ZKChecker] - INFO - server C1ZK3:11181 and server C1ZK1:11181 have different number of znodes:[/zookeeper/quota, /zookeeper] and [/zookeeper/quota, /eph, /zookeeper] {code}

 # Then I killed all the nodes in the cluster

 

The file ""log.100000001"" in C1ZK1 is :
{code:java}
ZooKeeper Transactional Log File with dbid 0 txnlog format version 2
22-3-24 下午10时51分40秒 session 0x3035dd9dccf0000 cxid 0x0 zxid 0x100000001 createSession 15000
 2,137198550422-3-24 下午10时51分40秒 session 0x3035dd9dccf0000 cxid 0x1 zxid 0x100000002 create '/bug,#68656c6c6f,v{s{31,s{'world,'anyone}}},F,1
 2,662048746122-3-24 下午10时51分40秒 session 0x3035dd9dccf0000 cxid 0x2 zxid 0x100000003 setData '/bug,#6e696365,1
 2,558865945422-3-24 下午10时51分40秒 session 0x3035dd9dccf0000 cxid 0x4 zxid 0x100000004 delete '/bug
 2,291011889122-3-24 下午10时51分40秒 session 0x3035dd9dccf0000 cxid 0x5 zxid 0x100000005 create '/eph,#657068656d,v{s{31,s{'world,'anyone}}},T,2
 2,7205004542EOF reached after 5 txns. {code}
And txn logs in other nodes are:
{code:java}
ZooKeeper Transactional Log File with dbid 0 txnlog format version 2
22-3-24 下午10时51分40秒 session 0x3035dd9dccf0000 cxid 0x0 zxid 0x100000001 createSession 15000
 2,137198550422-3-24 下午10时51分40秒 session 0x3035dd9dccf0000 cxid 0x1 zxid 0x100000002 create '/bug,#68656c6c6f,v{s{31,s{'world,'anyone}}},F,1
 2,662048746122-3-24 下午10时51分40秒 session 0x3035dd9dccf0000 cxid 0x2 zxid 0x100000003 setData '/bug,#6e696365,1
 2,558865945422-3-24 下午10时51分40秒 session 0x3035dd9dccf0000 cxid 0x4 zxid 0x100000004 delete '/bug
 2,291011889122-3-24 下午10时51分40秒 session 0x3035dd9dccf0000 cxid 0x5 zxid 0x100000005 create '/eph,#657068656d,v{s{31,s{'world,'anyone}}},T,2
 2,720500454222-3-24 下午10时51分57秒 session 0x5035dda2c040000 cxid 0x0 zxid 0x200000001 createSession 15000
 2,720500454222-3-24 下午10时51分57秒 session 0x5035dda2c040000 cxid 0x1 zxid 0x200000002 closeSession v{}
 2,7205004542EOF reached after 7 txns. {code}",[],Bug,ZOOKEEPER-4503,Major,May,,,The issue is open and ready for the assignee to start work on it.,Open,0.0,A restarted node can be accessed before it finishing synchronization with leader,2022-04-02T03:00:28.000+0000,"[<JIRA Version: name='3.6.3', id='12348703'>]",2.0
,"[<JIRA Component: name='quorum', id='12312379'>]",2022-03-28T08:34:21.000+0000,xiongjianbo,"After a three-node ZooKeeper cluster runs for a period of time, OutOfMemory occurs. Check the memory stack and find that the number of SyncRequestProcessor objects is over 400.

 

 

Check the previous modification records. It is found that the Learner.shutdown logic is modified this time.

[https://github.com/apache/zookeeper/pull/1619]

After the modification, the original invoking logic is changed.

Before modification: Learner.shutdown() -> LearnerZooKeeperServer.shutdown() -> ZooKeeperServer.shutdown()

After modification: Learner.shutdown() -> ZooKeeperServer.shutdown(boolean)

Finally, LearnerZooKeeperServer.syncProcessor.shutdown() was never called.

 

 

Analysis by MAT:

401 instances of {*}""org.apache.zookeeper.server.SyncRequestProcessor""{*}, loaded by *""sun.misc.Launcher$AppClassLoader @ 0xfc000000""* occupy *48,494,208 (40.02%)* bytes.

*Keywords*
org.apache.zookeeper.server.SyncRequestProcessor
sun.misc.Launcher$AppClassLoader @ 0xfc000000

 

 

Follower shutdown logs:

03-15 09:20:23,917 WARN (QuorumPeer[myid=1](plain=disabled)(secure=192.168.18.23:26310)) (Follower:129) Exception when following the leader
java.io.EOFException: null
        at java.io.DataInputStream.readInt(DataInputStream.java:393) ~[?:1.8.0_322]
        at org.apache.jute.BinaryInputArchive.readInt(BinaryInputArchive.java:96) ~[zookeeper-jute-3.6.3.jar:3.6.3]
        at org.apache.zookeeper.server.quorum.QuorumPacket.deserialize(QuorumPacket.java:86) ~[zookeeper-jute-3.6.3.jar:3.6.3]
        at org.apache.jute.BinaryInputArchive.readRecord(BinaryInputArchive.java:134) ~[zookeeper-jute-3.6.3.jar:3.6.3]
        at org.apache.zookeeper.server.quorum.Learner.readPacket(Learner.java:221) ~[zookeeper-3.6.3-h0.gdd.pub.r65.jar:3.6.3]
        at org.apache.zookeeper.server.quorum.Follower.followLeader(Follower.java:125) [zookeeper-3.6.3-h0.gdd.pub.r65.jar:3.6.3]
        at org.apache.zookeeper.server.quorum.QuorumPeer.run(QuorumPeer.java:1480) [zookeeper-3.6.3-h0.gdd.pub.r65.jar:3.6.3]
03-15 09:20:23,918 INFO (QuorumPeer[myid=1](plain=disabled)(secure=192.168.18.23:26310)) (Follower:143) Disconnected from leader (with address: /192.168.18.24:26311). Was connected for 35683ms. Sync state: true
03-15 09:20:23,918 INFO (QuorumPeer[myid=1](plain=disabled)(secure=192.168.18.23:26310)) (Follower:292) shutdown Follower
03-15 09:20:23,919 INFO (QuorumPeer[myid=1](plain=disabled)(secure=192.168.18.23:26310)) (ZooKeeperServer:812) shutting down
03-15 09:20:23,919 INFO (QuorumPeer[myid=1](plain=disabled)(secure=192.168.18.23:26310)) (RequestThrottler:244) Shutting down
03-15 09:20:23,919 INFO (RequestThrottler) (RequestThrottler:205) Draining request throttler queue
03-15 09:20:23,919 INFO (RequestThrottler) (RequestThrottler:181) RequestThrottler shutdown. Dropped 0 requests
03-15 09:20:23,920 INFO (QuorumPeer[myid=1](plain=disabled)(secure=192.168.18.23:26310)) (FollowerRequestProcessor:148) Shutting down
03-15 09:20:23,920 INFO (QuorumPeer[myid=1](plain=disabled)(secure=192.168.18.23:26310)) (CommitProcessor:617) Shutting down
03-15 09:20:23,920 INFO (FollowerRequestProcessor:1) (FollowerRequestProcessor:112) FollowerRequestProcessor exited loop!
03-15 09:20:23,920 INFO (CommitProcessor:1) (CommitProcessor:406) CommitProcessor exited loop!
03-15 09:20:23,928 INFO (QuorumPeer[myid=1](plain=disabled)(secure=192.168.18.23:26310)) (FinalRequestProcessor:661) shutdown of request processor complete
03-15 09:20:24,298 INFO (QuorumPeer[myid=1](plain=disabled)(secure=192.168.18.23:26310)) (QuorumPeer:864) Peer state changed: looking
03-15 09:20:24,298 WARN (QuorumPeer[myid=1](plain=disabled)(secure=192.168.18.23:26310)) (QuorumPeer:1526) PeerState set to LOOKING
03-15 09:20:24,298 INFO (QuorumPeer[myid=1](plain=disabled)(secure=192.168.18.23:26310)) (QuorumPeer:1396) LOOKING",[],Bug,ZOOKEEPER-4502,Critical,xiongjianbo,,,The issue is open and ready for the assignee to start work on it.,Open,0.0,Memory leaks: SyncRequestProcessor objects leak when leader election occurred,2022-04-02T11:14:40.000+0000,"[<JIRA Version: name='3.6.3', id='12348703'>, <JIRA Version: name='3.7.0', id='12346617'>]",3.0
,[],2022-03-24T08:51:56.000+0000,Margarita Stoilova,"Version 9.4.43 is vulnerable for PRISMA-2021-0182. 

 org.eclipse.jetty_jetty-server package versions before 9.4.44 are vulnerable to DoS (Denial of Service). ",[],Bug,ZOOKEEPER-4501,Major,Margarita Stoilova,,,The issue is open and ready for the assignee to start work on it.,Open,0.0,Upgrade Jetty from 9.4.43 to 9.4.44,2022-03-24T08:51:56.000+0000,"[<JIRA Version: name='3.8.0', id='12349587'>]",1.0
,[],2022-03-22T16:31:58.000+0000,Houston Putman,"Currently the validateACL() method in Zookeeper.java looks like this:

 
{code:java}
if (acl == null || acl.isEmpty() || acl.contains(null)) {
  throw new KeeperException.InvalidACLException();
} {code}
However the {{contains()}} method for an {{ImmutableCollection}} validates that the argument is non-null: (Note, {{contains()}}{{{} calls {{indexOf()}}{}}}{{{}){}}}

 

 
{code:java}
@Override
public int indexOf(Object o) {
    Objects.requireNonNull(o);
    for (int i = 0, s = size(); i < s; i++) {
        if (o.equals(get(i))) {
            return i;
        }
    }
    return -1;
} {code}
Therefore if you try to pass an immutable collection for ACLs, you will get a null-pointer exception.

 ",[],Bug,ZOOKEEPER-4500,Major,Houston Putman,,,The issue is open and ready for the assignee to start work on it.,Open,0.0,ACL Lists cannot be validated when they are immutable,2022-03-22T19:27:39.000+0000,[],2.0
,"[<JIRA Component: name='server', id='12312382'>]",2022-03-22T09:31:46.000+0000,Keyi Zhong,,[],Bug,ZOOKEEPER-4499,Major,Keyi Zhong,,,The issue is open and ready for the assignee to start work on it.,Open,0.0,The status of all nodes will be abnormal when only the inbound direction of the ZooKeeper port is faulty,2022-03-22T09:31:46.000+0000,"[<JIRA Version: name='3.6.3', id='12348703'>]",1.0
,[],2022-03-17T06:38:18.000+0000,May,"# client connects to node ZK1;
# client creates an ephemeral znode ""/eph""
# client closes the session;
# ZK1 crashes before sending closing session request  to leader
# the ephemeral znode ""/eph"" leaves in the cluster

Since ZK1 is down, the cluster should clean up sessions that connect to ZK1.",[],Bug,ZOOKEEPER-4497,Major,May,,,The issue is open and ready for the assignee to start work on it.,Open,0.0,Crash before closing session makes an ephemeral znode leave in ZooKeeper,2022-03-28T12:42:22.000+0000,"[<JIRA Version: name='3.6.3', id='12348703'>]",1.0
